epoch,train_loss,train_recon,train_kl,train_offdiag_pen,train_offdiag_pen_scaled,val_loss,val_recon,val_kl,val_offdiag_pen,val_offdiag_pen_scaled,epoch_seconds
1,175.60514397048436,167.21740015658827,7.9315863477180955,0.001140394136209076,0.4561576539875954,177.04408782849208,168.76307999315878,7.848379581952266,0.0010815702733439694,0.4326281091935343,97.99067974090576
2,175.5639070484266,167.1868511067818,7.9498519275406165,0.0010680106627803884,0.4272042655805398,177.1923912652105,168.85265106091396,7.914931338468044,0.0010620231169406592,0.42480924677291365,95.5719587802887
3,175.49979192310767,167.11859123308918,7.961217772783699,0.0010499574063717397,0.41998296274937225,177.00991623693233,168.73927938337806,7.8551919177281775,0.0010386124745734948,0.41544498985619854,95.9025444984436
4,175.47581252674235,167.08706852427702,7.9723770670991625,0.0010409184905773282,0.4163673961827522,177.1365973108964,168.82544859193212,7.898919374822713,0.0010305742360274608,0.41222969464046494,96.07487797737122
5,175.3978959742935,167.00889664279734,7.9758776518014765,0.0010328045457051048,0.4131218181018941,177.25834233126196,168.9035246046327,7.946809869876011,0.0010200196820798685,0.40800787288722373,96.04898428916931
6,175.37083049298835,166.97503644262838,7.986105202234279,0.0010242222595580335,0.40968890366820243,177.10667381012183,168.7246800703968,7.972472454146516,0.001023804249133908,0.4095216998629433,95.80583572387695
7,175.3290911085478,166.927910341854,7.993464158667781,0.0010192919356201316,0.40771677423799785,176.89989932492483,168.61302915065409,7.884179761941485,0.0010067257326030969,0.4026902933879722,96.40104174613953
8,175.2841977811428,166.8750303322487,8.003160726578987,0.0010150168433810994,0.4060067372766101,176.97690236482688,168.6571452188835,7.915996757342661,0.001009400895978458,0.40376035826240514,96.23683023452759
9,175.24646314585794,166.8306259244506,8.011501150950622,0.0010108404216372076,0.40433616877889184,177.0033535031106,168.5761363077507,8.019526358988646,0.0010192275202034122,0.40769100805623926,95.20411562919617
10,175.2010027378784,166.7897724489666,8.009721778075114,0.0010037715200630565,0.4015086079791383,177.19062689911547,168.85763497661344,7.931644079496535,0.001003367855341723,0.4013471425973254,95.6979501247406
11,175.18540353298832,166.7691494851192,8.015743404264875,0.0010012774351708595,0.4005109737759177,177.3647052298347,168.8852720466449,8.07755603121339,0.0010046928174828897,0.4018771274269914,96.88789534568787
12,175.12357142590426,166.69571489135907,8.029001423436352,0.0009971379114281818,0.3988551645063356,176.89850020923203,168.4565095146783,8.041933172898327,0.001000143924481805,0.4000575704325875,97.13132882118225
13,175.08173689196573,166.65093553468444,8.033557712093325,0.000993109526219717,0.397243810421274,177.18121658983847,168.7710309749027,8.013568746957848,0.0009915446176858645,0.39661784722007437,96.79147291183472
14,175.02790294377803,166.59342074512202,8.038470118741865,0.0009900302305120893,0.39601209239545726,176.88887257198635,168.6292958979984,7.868109228799669,0.0009786699856246198,0.39146799342237787,96.31493639945984
15,175.07157446980958,166.6296817369414,8.04672831347865,0.0009879117913649334,0.39516471693014915,177.0888298638433,168.68657665115467,8.008797702171819,0.0009836394234272322,0.3934557689822835,96.127450466156
16,174.99836748803568,166.55451160178654,8.050909783890587,0.000982365877501829,0.3929463510195843,176.94607354582644,168.48156032973912,8.070238130555737,0.000985688270696124,0.39427530829855006,95.81793570518494
17,174.96921585638995,166.52724105690817,8.050555853815803,0.0009785477354843127,0.39141909422179466,176.90295124740052,168.47464186853642,8.035982184272877,0.000980816857630501,0.3923267433754832,95.99644899368286
18,174.924354076171,166.4699055014888,8.063799660322745,0.0009766230374860384,0.39064921514439893,176.80182546162777,168.56109550530962,7.857148453486052,0.0009589534341449776,0.3835813736529659,95.64599394798279
19,174.87113047954577,166.4156871114397,8.066039736829682,0.0009735101799952353,0.38940407202364996,176.9285839821795,168.47198889752943,8.070407550111948,0.0009654690318895009,0.3861876127424,96.95695900917053
20,174.85067427785773,166.3875820693592,8.0748108659196,0.000970703455550597,0.3882813823957782,176.91898850914384,168.5017370045614,8.0280361501433,0.000973039254878661,0.38921570172198383,95.01473593711853
21,174.8076978607109,166.34385243225785,8.076998686822641,0.0009671173647753693,0.3868469459030256,177.02094971361777,168.62966949133565,8.010277891330581,0.0009525077152208311,0.3810030864082652,96.8508996963501
22,174.7858434034477,166.31671356736567,8.082893336618262,0.0009655914485355687,0.3862365794594739,177.0770332281538,168.585655075183,8.106629586048264,0.0009618723181263952,0.38474892744486283,96.20367169380188
23,174.75888316866195,166.28558088088968,8.088576323483046,0.0009618147602440975,0.38472590406789364,176.87181184617737,168.42185545996796,8.065872967672005,0.0009602096372304096,0.38408385517357063,97.51342344284058
24,174.73811086362082,166.25984697775212,8.094489874091172,0.000959435763994665,0.38377430580566446,176.85187604616013,168.46147638773746,8.007130742073059,0.0009581722895340096,0.3832689153311922,95.67728567123413
25,174.68267977393216,166.20036204033912,8.099606340230718,0.0009567783932858056,0.38271135744671,176.90029479102265,168.45955471340702,8.058299523463353,0.0009561024261588271,0.3824409705271824,97.46636724472046
26,174.6480829030396,166.15932362668428,8.107139379335747,0.000954049356927776,0.3816197429135529,176.95870631375757,168.61210286531517,7.968262613248482,0.0009458522485500443,0.37834089983710284,96.41103172302246
27,174.6280752054164,166.13682273353373,8.111163404038292,0.0009502225293741435,0.3800890118594219,176.9582515689109,168.58811451205247,7.99283631757009,0.0009432517696865466,0.37730070803877264,95.62094640731812
28,174.59374672584687,166.09664670572698,8.117670866802797,0.0009485738995760257,0.3794295601462975,177.06479493834132,168.55280133803114,8.133544691175008,0.0009461225075571858,0.37844900293744727,95.07272791862488
29,174.57745072351508,166.0785464802895,8.12071710741847,0.0009454682824845806,0.3781873130792977,176.83600045622683,168.46272985883755,7.99937663404204,0.0009347358630574811,0.3738943456317023,95.90361881256104
30,174.5391702038503,166.033405031109,8.128850121783396,0.0009422883452075478,0.3769153385912037,177.1817082466839,168.53375521323665,8.267801867972175,0.0009503785822089936,0.3801514331599791,95.70081567764282
